"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"40","135.0288598634164","148.3957307645333","0.009399999999999964","0.014","0.0048","1560","0.00044086573416839955","0.00044086573416839955","0","0.00044086573416839955","0.00044086573416839955","40_41:0.042177095223373595;40_34:0.0023764045268163114;40_39:0.0048713470038898865","40_41:0.033227038374982254;40_34:0.003484806164439913;40_39:0.004499480239528286","40_41:68;40_34:96;40_39:68","true"
"41","46.69490244796269","51.00004806081804","0.03249999999999997","0.0512","0.0138","1560","0.011065590650261007","0.011065590650261007","0","0.011065590650261007","0.011065590650261007","41_40:0.042177095223373595;41_42:0.044230223060526014","41_40:0.033227038374982254;41_42:0.041603185055617414","41_40:68;41_42:68","true"
"42","266.2462197046145","154.9933079036147","0.23960000000000004","0.2384","0.2408","1560","0.00011126901298695684","0.00011126901298695684","0","0.00011126901298695684","0.00011126901298695684","42_41:0.044230223060526014;42_43:0.0019382114896647207;42_54:0.002802168079490186","42_41:0.041603185055617414;42_43:0.003983340671509905;42_54:0.0027047831231861164","42_41:68;42_43:68;42_54:80","true"
"43","188.4614731937307","117.37028953992443","0.008099999999999996","0.0094","0.0068","1560","0.00017017906422120551","0.00017017906422120551","0","0.00017017906422120551","0.00017017906422120551","43_42:0.0019382114896647207;43_44:0.0026453790598689464","43_42:0.003983340671509905;43_44:0.006597607641382841","43_42:68;43_44:68","true"
"44","343.53287803985756","311.84127056990394","0.023800000000000043","0.0338","0.0138","1560","0.0005892511206425664","0.0005892511206425664","0","0.0005892511206425664","0.0005892511206425664","44_45:0.01196249285221293;44_35:0.0025231416743524693;44_43:0.0026453790598689464","44_45:0.03467194780925925;44_35:0.0055755196489654935;44_43:0.006597607641382841","44_45:68;44_35:108;44_43:68","true"
"45","44.547288991512","56.58070940489264","0.008600000000000052","0.0134","0.0038","1560","0.0003194097305054762","0.0003194097305054762","0","0.0003194097305054762","0.0003194097305054762","45_44:0.01196249285221293;45_46:0.003689738752126054","45_44:0.03467194780925925;45_46:0.01087383483756324","45_44:68;45_46:68","true"
"46","211.5189289921083","195.14830888657272","0.051100000000000034","0.0616","0.0406","1560","0.00015588368434729349","0.00015588368434729349","0","0.00015588368434729349","0.00015588368434729349","46_45:0.003689738752126054;46_47:0.0025785871612787614;46_55:0.008196750342373521","46_45:0.01087383483756324;46_47:0.00430160758155998;46_55:0.003408766173687766","46_45:68;46_47:68;46_55:68","true"
"47","209.83986161780592","79.07122729682138","0.020100000000000007","0.0364","0.0038","1560","0.0004536502084641379","0.0004536502084641379","0","0.0004536502084641379","0.0004536502084641379","47_48:0.0034646926706724257;47_46:0.0025785871612787614","47_48:0.004542230531333624;47_46:0.00430160758155998","47_48:68;47_46:68","true"
"48","191.51602926864265","226.22342503537476","0.025399999999999978","0.0366","0.0142","1560","0.000173064365487618","0.000173064365487618","0","0.000173064365487618","0.000173064365487618","48_36:0.0032774805163011955;48_47:0.0034646926706724257;48_49:0.0023748242565358735","48_36:0.006338642056327032;48_47:0.004542230531333624;48_49:1","48_36:68;48_47:68;48_49:68","true"
"49","114.96875060476863","88.67945563621721","0.1279","0.2296","0.0262","1560","0.00024335776868594238","0.00024335776868594238","0","0.00024335776868594238","0.00024335776868594238","49_48:0.0023748242565358735;49_50:0.0020004371723755243","49_48:1;49_50:0.00298672060658986","49_48:68;49_50:68","true"
"50","119.55524160074431","175.07598581694117","0.06110000000000004","0.0898","0.0324","1560","0.0002593708104946173","0.0002593708104946173","0","0.0002593708104946173","0.0002593708104946173","50_56:0.004144463839177465;50_49:0.0020004371723755243;50_51:0.002426474100528292","50_56:0.005132529760344201;50_49:0.00298672060658986;50_51:0.0035450951607554626","50_56:68;50_49:68;50_51:68","true"
"51","284.41284372421586","159.5384381441576","0.0043999999999999595","0.0078","0.001","1560","0.00028908018362699495","0.00028908018362699495","0","0.00028908018362699495","0.00028908018362699495","51_50:0.002426474100528292;51_52:0.002317964547503104","51_50:0.0035450951607554626;51_52:0.003377644713522643","51_50:68;51_52:68","true"
"52","184.14442217152788","299.1941955796315","0.017000000000000015","0.0174","0.0166","1560","0.0003057355580054556","0.0003057355580054556","0","0.0003057355580054556","0.0003057355580054556","52_51:0.002317964547503104;52_37:0.0032966154267851655","52_51:0.003377644713522643;52_37:0.0031759528349575294","52_51:68;52_37:104","true"
"53","60.29985195249191","58.17682711108732","0.10009999999999997","0.1748","0.0254","1560","0.017566000231374064","0.017566000231374064","0","0.017566000231374064","0.017566000231374064","53_38:0.025517074614656576;53_57:0.0226037604793074","53_38:0.029888058132561512;53_57:0.032722344466862285","53_38:68;53_57:108","true"
"54","128.91228362207008","12.921421867245765","0.009199999999999986","0.0164","0.002","1560","0.0005942678778727502","0.0005942678778727502","0","0.0005942678778727502","0.0005942678778727502","54_42:0.002802168079490186;54_61:0.010064364537126919","54_42:0.0027047831231861164;54_61:0.004108623574596487","54_42:80;54_61:152","true"
"55","28.833031121516402","140.4131018711068","0.2128","0.42","0.0056","1560","0.015608100815562647","0.015608100815562647","0","0.015608100815562647","0.015608100815562647","55_65:0.00686498061835808;55_46:0.008196750342373521","55_65:0.003274770584154041;55_46:0.003408766173687766","55_65:120;55_46:68","true"
"56","111.16788483233033","129.67896775891464","0.013399999999999967","0.0198","0.007","1560","0.0007129784016364117","0.0007129784016364117","0","0.0007129784016364117","0.0007129784016364117","56_50:0.004144463839177465;56_69:0.007451101821800199","56_50:0.005132529760344201;56_69:0.011869106418075315","56_50:68;56_69:160","true"
