"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"37","187.65914800341076","222.6102899392257","0.009399999999999964","0.0142","0.0046","1560","0.000361102180673486","0.000361102180673486","0","0.000361102180673486","0.000361102180673486","37_45:0.0025604049137996354;37_25:0.0022812513896925124","37_45:84;37_25:84","true"
"38","79.91378275252642","111.05402161961187","0.0040000000000000036","0.007","0.001","1560","0.0002799319290449021","0.0002799319290449021","0","0.0002799319290449021","0.0002799319290449021","38_29:0.0022357684597666405;38_49:0.0029977632587238623","38_29:84;38_49:84","true"
"39","133.31565535404124","154.03457800506638","0.006399999999999961","0.0098","0.003","1560","0.0008270474258683027","0.0008270474258683027","0","0.0008270474258683027","0.0008270474258683027","39_53:0.006154140385703777;39_33:0.0022417972697134914","39_53:84;39_33:84","true"
"40","158.80629363471334","155.45762561526334","0.008499999999999952","0.01","0.007","1560","0.00021196338894623643","0.00021196338894623643","0","0.00021196338894623643","0.00021196338894623643","40_41:0.0021732943578985087","40_41:84","true"
"41","286.5631013425049","153.40503985258508","0.044300000000000006","0.0576","0.031","1560","0.000130119758419474","0.000130119758419474","0","0.000130119758419474","0.000130119758419474","41_40:0.0021732943578985087;41_42:0.0025328406041102147;41_36:0.002281534643642502","41_40:84;41_42:84;41_36:84","true"
"42","178.9575814400871","42.057207053441736","0.0036000000000000476","0.0058","0.0014","1560","0.00025606894190263524","0.00025606894190263524","0","0.00025606894190263524","0.00025606894190263524","42_41:0.0025328406041102147;42_43:0.005255510306611005","42_41:84;42_43:84","true"
"43","95.5024122331829","72.66556309692706","0.028100000000000014","0.0316","0.0246","1560","0.00018817267948981463","0.00018817267948981463","0","0.00018817267948981463","0.00018817267948981463","43_42:0.005255510306611005;43_56:0.002306528878132097;43_44:0.002372931203424772","43_42:84;43_56:84;43_44:84","true"
"44","111.45103969216014","134.2796206517456","0.00539999999999996","0.0088","0.002","1560","0.0003691260375785579","0.0003691260375785579","0","0.0003691260375785579","0.0003691260375785579","44_45:0.0022417517950093224;44_43:0.002372931203424772","44_45:84;44_43:84","true"
"45","191.22693700608855","200.58557238557714","0.027599999999999958","0.0276","0.0276","1560","0.0001834527283790203","0.0001834527283790203","0","0.0001834527283790203","0.0001834527283790203","45_44:0.0022417517950093224;45_46:0.0036402700454043757;45_37:0.0025604049137996354","45_44:84;45_46:84;45_37:84","true"
"46","109.90796214661839","11.345359369396752","0.007299999999999973","0.0096","0.005","1560","0.0005382029306478068","0.0005382029306478068","0","0.0005382029306478068","0.0005382029306478068","46_45:0.0036402700454043757;46_47:0.0031847707904646416","46_45:84;46_47:84","true"
"47","168.54286406012503","61.15967983667252","0.01849999999999996","0.0176","0.0194","1560","0.00019966751633085","0.00019966751633085","0","0.00019966751633085","0.00019966751633085","47_48:0.002113721659871781;47_57:0.0025630558933505687;47_46:0.0031847707904646416","47_48:84;47_57:84;47_46:84","true"
"48","99.31684744574574","31.778730330932255","0.007399999999999962","0.0106","0.0042","1560","0.00029980110505666957","0.00029980110505666957","0","0.00029980110505666957","0.00029980110505666957","48_47:0.002113721659871781;48_49:0.002769894332278061","48_47:84;48_49:84","true"
"49","32.59256828860367","18.31936122092598","0.028100000000000014","0.0316","0.0246","1560","0.00036628478974933166","0.00036628478974933166","0","0.00036628478974933166","0.00036628478974933166","49_48:0.002769894332278061;49_50:0.003260599385684515;49_38:0.0029977632587238623","49_48:84;49_50:84;49_38:84","true"
"50","149.5499220341475","124.30648818955977","0.006700000000000039","0.0126","0.0008","1560","0.00022842585165426177","0.00022842585165426177","0","0.00022842585165426177","0.00022842585165426177","50_49:0.003260599385684515;50_51:0.0019708049434690733","50_49:84;50_51:84","true"
"51","118.96754620214033","100.45106723401818","0.055300000000000016","0.0492","0.0614","1560","0.0002677421718819422","0.0002677421718819422","0","0.0002677421718819422","0.0002677421718819422","51_50:0.0019708049434690733;51_52:0.0025558237579762777;51_58:0.003277763902780867","51_50:84;51_52:84;51_58:84","true"
"52","100.55822558747518","87.23411735722593","0.006399999999999961","0.0094","0.0034","1560","0.000281993192338735","0.000281993192338735","0","0.000281993192338735","0.000281993192338735","52_51:0.0025558237579762777;52_53:0.006597791317238005","52_51:84;52_53:84","true"
"53","140.23878141378796","20.701692989529345","0.01429999999999998","0.0184","0.0102","1560","0.00022868639504739586","0.00022868639504739586","0","0.00022868639504739586","0.00022868639504739586","53_39:0.006154140385703777;53_52:0.006597791317238005;53_54:0.01365328263258589","53_39:84;53_52:84;53_54:84","true"
"54","117.82533285897938","162.66341016838888","0.0034999999999999476","0.006","0.001","1560","0.001188732226147558","0.001188732226147558","0","0.001188732226147558","0.001188732226147558","54_53:0.01365328263258589;54_55:0.002717868896987191","54_53:84;54_55:84","true"
"55","253.799596120613","249.50840126205458","0.028699999999999948","0.0558","0.0016","1560","0.000640862445968902","0.000640862445968902","0","0.000640862445968902","0.000640862445968902","55_59:0.00285337196143598;55_54:0.002717868896987191","55_59:84;55_54:84","true"
"56","163.89574152889907","156.19002083697438","0.0029000000000000137","0.0058","0","1560","0.0003614522283070094","0.0003614522283070094","0","0.0003614522283070094","0.0003614522283070094","56_63:0.005002920226536839;56_43:0.002306528878132097","56_63:84;56_43:84","true"
"57","94.21372281862412","78.75688214076148","0.0037000000000000366","0.0064","0.001","1560","0.0002709489257727126","0.0002709489257727126","0","0.0002709489257727126","0.0002709489257727126","57_47:0.0025630558933505687;57_67:0.0034674377495819697","57_47:84;57_67:84","true"
"58","123.01226446360482","114.43919833629529","0.03210000000000002","0.0642","0","1560","0.0003826137371218143","0.0003826137371218143","0","0.0003826137371218143","0.0003826137371218143","58_71:0.002018291884493373;58_51:0.003277763902780867","58_71:84;58_51:84","true"
"59","91.60509589397758","109.0747612624017","0.0042999999999999705","0.0076","0.001","1560","0.0005129386845719341","0.0005129386845719341","0","0.0005129386845719341","0.0005129386845719341","59_55:0.00285337196143598;59_75:0.008467700547114793","59_55:84;59_75:84","true"
"60","129.2684753499266","50.072222596224314","0.007199999999999984","0.012","0.0024","1560","0.0003965706872215861","0.0003965706872215861","0","0.0003965706872215861","0.0003965706872215861","60_61:0.0019255115856507132","60_61:84","true"
"61","216.3418354385054","126.43477463767894","0.010000000000000009","0.0138","0.0062","1560","0.00019576716076149503","0.00019576716076149503","0","0.00019576716076149503","0.00019576716076149503","61_76:0.00323360980113116;61_60:0.0019255115856507132;61_62:0.002855306819522979","61_76:84;61_60:84;61_62:84","true"
"62","82.24234214270798","28.244562716003465","0.008900000000000019","0.0116","0.0062","1560","0.00031085406266237193","0.00031085406266237193","0","0.00031085406266237193","0.00031085406266237193","62_61:0.002855306819522979;62_63:0.007056497584969096","62_61:84;62_63:84","true"
"63","233.95162019179747","12.965157218216905","0.012199999999999989","0.0168","0.0076","1560","0.000558825836013101","0.000558825836013101","0","0.000558825836013101","0.000558825836013101","63_56:0.005002920226536839;63_62:0.007056497584969096;63_64:0.05338514841472966","63_56:84;63_62:84;63_64:84","true"
"64","76.25700534937157","50.30966768343009","0.0038000000000000256","0.0066","0.001","1560","0.00027872671179484363","0.00027872671179484363","0","0.00027872671179484363","0.00027872671179484363","64_65:0.0030738939418975264;64_63:0.05338514841472966","64_65:84;64_63:84","true"
"65","156.42815958352614","105.08042173125118","0.04590000000000005","0.0482","0.0436","1560","0.00034783881220159076","0.00034783881220159076","0","0.00034783881220159076","0.00034783881220159076","65_64:0.0030738939418975264;65_66:0.0031412387644485507;65_77:0.004055391238098283","65_64:84;65_66:84;65_77:84","true"
"66","124.678358936293","18.104176210943656","0.00770000000000004","0.0108","0.0046","1560","0.00022297029370824153","0.00022297029370824153","0","0.00022297029370824153","0.00022297029370824153","66_65:0.0031412387644485507;66_67:0.0033258909807794557","66_65:84;66_67:84","true"
"67","144.09860704507346","59.204490343502385","0.06869999999999998","0.0744","0.063","1560","0.0003121729343865107","0.0003121729343865107","0","0.0003121729343865107","0.0003121729343865107","67_68:0.004594162408597696;67_57:0.0034674377495819697;67_66:0.0033258909807794557","67_68:84;67_57:84;67_66:84","true"
