"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"10","173.46043047378257","137.5227762308834","0.018199999999999994","0.0244","0.012","2100","0.00022884741819415336","0.00022884741819415336","0","0.00022884741819415336","0.00022884741819415336","10_9:0.0021078541670970508;10_11:0.005015924697575558","10_9:68;10_11:68","true"
"11","365.12412461891","188.14637870173203","0.013299999999999979","0.0168","0.0098","2100","0.00034900229729692184","0.00034900229729692184","0","0.00034900229729692184","0.00034900229729692184","11_18:0.001455821194940199;11_10:0.005015924697575558;11_12:0.0010231124956375237","11_18:68;11_10:68;11_12:68","true"
"12","216.09432034634915","184.20066170974596","0.006000000000000005","0.0096","0.0024","2100","0.0001812292131415132","0.0001812292131415132","0","0.0001812292131415132","0.0001812292131415132","12_13:0.0012815801167754548;12_11:0.0010231124956375237","12_13:80;12_11:68","true"
"13","216.96527632619785","347.64806456394496","0.07609999999999995","0.0494","0.1028","2100","0.00028376230565309155","0.00028376230565309155","0","0.00028376230565309155","0.00028376230565309155","13_12:0.0012815801167754548;13_14:0.001350479056341336","13_12:80;13_14:80","true"
"14","179.58833929160872","147.61873917473534","0.009299999999999975","0.013","0.0056","2100","0.00012281051613902225","0.00012281051613902225","0","0.00012281051613902225","0.00012281051613902225","14_15:0.001147477037906991;14_13:0.001350479056341336","14_15:68;14_13:80","true"
"15","228.24231927362536","32.47111587015971","0.006700000000000039","0.0074","0.006","2100","0.00028730840491166833","0.00028730840491166833","0","0.00028730840491166833","0.00028730840491166833","15_14:0.001147477037906991;15_19:0.0012700051329556372","15_14:68;15_19:68","true"
"16","139.59605168133675","208.1109555571116","0.05579999999999996","0.0442","0.0674","2100","0.00019996465385034018","0.00019996465385034018","0","0.00019996465385034018","0.00019996465385034018","16_23:0.0018655694495757214;16_3:0.00273553639021476","16_23:68;16_3:68","true"
"17","41.536975412036774","15.930172407890904","0.015700000000000047","0.011","0.0204","2100","0.00034747045482564764","0.00034747045482564764","0","0.00034747045482564764","0.00034747045482564764","17_7:0.0014125363118317469;17_27:0.0023950747046319887","17_7:68;17_27:68","true"
"18","95.52695077262007","75.74864801650907","0.054300000000000015","0.0478","0.0608","2100","0.00025753353077885354","0.00025753353077885354","0","0.00025753353077885354","0.00025753353077885354","18_11:0.001455821194940199;18_31:0.001894452906588795","18_11:68;18_31:68","true"
"19","163.02430138142176","37.476588135341395","0.03359999999999996","0.0272","0.04","2100","0.00013619778898462596","0.00013619778898462596","0","0.00013619778898462596","0.00013619778898462596","19_35:0.0016875334605248593;19_15:0.0012700051329556372","19_35:80;19_15:68","true"
