Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,Gate time (ns),Operational
32,107.85278142876983,133.33785141329986,0.018333333333333313,0.01,0.026666666666666616,1560,0.000219349,0.000219349,0,0.000219349,0.000219349,32_31:0.019496517876166797;32_33:1,32_31:84;32_33:84,TRUE
33,112.23324209733127,116.66187644917419,0.015000000000000013,0.013333333333333308,0.016666666666666666,1560,0.000178133,0.000178133,0,0.000178133,0.000178133,33_39:0.002393279036978113;33_32:1;33_34:1,33_39:84;33_32:84;33_34:84,TRUE
34,84.35640025304383,45.46204542271584,0.0374,0.0652,0.0096,1560,0.001082513,0.001082513,0,0.001082513,0.001082513,34_33:1;34_35:0.0023498000102831484,34_33:84;34_35:84,TRUE
35,195.97730721764003,56.55383406476942,0.0142,0.020199999999999996,0.0082,1560,0.000187365,0.000187365,0,0.000187365,0.000187365,35_19:0.002222422977728289;35_34:0.0023498000102831484,35_19:84;35_34:84,TRUE
36,167.73261776418096,122.42354944174929,0.0108,0.0136,0.008,1560,0.000476892,0.000476892,0,0.000476892,0.000476892,36_41:0.0025971845680423655;36_21:0.006895689101728858,36_41:84;36_21:84,TRUE
37,150.12548198780595,269.92548396555713,0.0221,0.027599999999999958,0.0166,1560,0.000183427,0.000183427,0,0.000183427,0.000183427,37_45:0.0028557726227425306;37_25:0.002057702622468488,37_45:84;37_25:84,TRUE
38,140.79885203387656,154.97190090466955,0.0176,0.0196,0.015599999999999947,1560,0.000251112,0.000251112,0,0.000251112,0.000251112,38_29:0.002439728561292681;38_49:0.0031559836902703697,38_29:84;38_49:84,TRUE
39,113.14498667999676,132.0984429357195,0.020100000000000007,0.0266,0.013599999999999945,1560,0.000624397,0.000624397,0,0.000624397,0.000624397,39_53:0.002744015819033163;39_33:0.002393279036978113,39_53:84;39_33:84,TRUE
40,149.69171396905202,117.97737028959799,0.0132,0.0212,0.0052,1560,0.000204643,0.000204643,0,0.000204643,0.000204643,40_41:0.008109317901684954,40_41:84,TRUE
41,139.42260521148935,102.90532074735262,0.054200000000000026,0.0918,0.0166,1560,0.000183717,0.000183717,0,0.000183717,0.000183717,41_40:0.008109317901684954;41_42:0.003211137558235766;41_36:0.0025971845680423655,41_40:84;41_42:84;41_36:84,TRUE
